n, mean, var, SE_mean, SE_var, mean_lower95, mean_upper95, var_lower95, var_upper95
50,-0.196846,1.610896,0.179494,0.325450,-0.548654,0.154961,0.973014,2.248778
50,-0.527114,1.901719,0.195024,0.384205,-0.909361,-0.144867,1.148677,2.654761
50,-0.495055,1.967396,0.198363,0.397474,-0.883847,-0.106263,1.188347,2.746446
50,-0.260005,2.593000,0.227728,0.523865,-0.706352,0.186342,1.566224,3.619775
50,-0.159703,1.849522,0.192329,0.373660,-0.536668,0.217262,1.117149,2.581895
50,-0.623086,1.459045,0.170824,0.294772,-0.957902,-0.288271,0.881292,2.036797
50,-0.373038,1.916325,0.195772,0.387156,-0.756750,0.010675,1.157499,2.675151
50,-0.414275,2.107629,0.205311,0.425805,-0.816685,-0.011866,1.273050,2.942207
50,-0.747336,2.164961,0.208085,0.437388,-1.155182,-0.339490,1.307680,3.022242
50,-0.302285,1.714646,0.185183,0.346411,-0.665244,0.060675,1.035681,2.393611
50,-0.546861,3.053051,0.247105,0.616810,-1.031187,-0.062534,1.844105,4.261998
50,-0.206370,1.673139,0.182928,0.338025,-0.564910,0.152170,1.010610,2.335669
50,-0.570184,2.047279,0.202350,0.413613,-0.966790,-0.173578,1.236598,2.857960
50,-0.439662,2.416305,0.219832,0.488167,-0.870533,-0.008792,1.459497,3.373113
50,-0.271791,1.776322,0.188485,0.358871,-0.641221,0.097638,1.072934,2.479709
50,-0.095838,2.138108,0.206790,0.431963,-0.501146,0.309471,1.291461,2.984756
50,-0.443519,2.484301,0.222904,0.501905,-0.880410,-0.006628,1.500568,3.468033
50,-0.793046,2.048000,0.202386,0.413758,-1.189722,-0.396370,1.237033,2.858966
50,-0.257838,2.066997,0.203322,0.417596,-0.656350,0.140674,1.248508,2.885486
50,-0.166044,1.920335,0.195976,0.387966,-0.550157,0.218070,1.159921,2.680748
50,-0.338573,1.712076,0.185045,0.345892,-0.701260,0.024115,1.034129,2.390024
50,-0.428028,1.991348,0.199567,0.402313,-0.819179,-0.036877,1.202815,2.779882
50,-0.471244,1.990244,0.199512,0.402090,-0.862287,-0.080201,1.202148,2.778341
50,-0.349594,1.863133,0.193035,0.376410,-0.727943,0.028755,1.125370,2.600897
50,-0.881060,1.831553,0.191392,0.370030,-1.256189,-0.505931,1.106295,2.556812
50,-0.624663,2.457504,0.221698,0.496491,-1.059192,-0.190135,1.484382,3.430626
50,-0.477467,1.755975,0.187402,0.354761,-0.844775,-0.110159,1.060644,2.451306
50,-0.273855,1.379376,0.166095,0.278676,-0.599401,0.051691,0.833171,1.925582
50,-0.573409,2.513586,0.224214,0.507821,-1.012868,-0.133951,1.518256,3.508915
50,-0.316231,1.419732,0.168507,0.286829,-0.646505,0.014043,0.857547,1.981917
50,-0.225416,1.834004,0.191520,0.370525,-0.600796,0.149964,1.107775,2.560232
50,-0.106350,1.891698,0.194510,0.382181,-0.487588,0.274889,1.142624,2.640772
50,-0.521338,1.851027,0.192407,0.373964,-0.898457,-0.144220,1.118058,2.583996
50,-0.658699,1.616212,0.179789,0.326524,-1.011086,-0.306311,0.976225,2.256200
50,-0.460183,2.120199,0.205922,0.428345,-0.863790,-0.056575,1.280643,2.959755
50,-0.534656,1.887209,0.194279,0.381274,-0.915442,-0.153870,1.139912,2.634506
50,-0.597113,2.322496,0.215522,0.469215,-1.019537,-0.174689,1.402834,3.242157
50,-0.001540,1.825861,0.191095,0.368880,-0.376086,0.373006,1.102857,2.548865
50,-0.303695,1.827127,0.191161,0.369135,-0.678370,0.070981,1.103622,2.550633
50,-0.229258,2.862584,0.239273,0.578329,-0.698233,0.239718,1.729058,3.996109
50,-0.639326,2.267680,0.212964,0.458140,-1.056735,-0.221917,1.369724,3.165635
50,-0.093324,2.029172,0.201453,0.409955,-0.488173,0.301524,1.225661,2.832684
50,0.022025,2.212281,0.210346,0.446948,-0.390254,0.434304,1.336262,3.088299
50,-0.621927,2.170209,0.208337,0.438448,-1.030266,-0.213587,1.310850,3.029568
50,-0.691492,1.397946,0.167209,0.282428,-1.019222,-0.363762,0.844388,1.951505
50,-0.569892,1.990350,0.199517,0.402111,-0.960945,-0.178839,1.202211,2.778488
50,-0.594567,1.909158,0.195405,0.385708,-0.977561,-0.211573,1.153170,2.665146
50,-0.551387,2.710659,0.232837,0.547636,-1.007747,-0.095026,1.637293,3.784025
50,-0.615800,2.218830,0.210658,0.448271,-1.028688,-0.202911,1.340218,3.097441
50,-0.563596,1.559802,0.176624,0.315128,-0.909780,-0.217413,0.942152,2.177453
50,-0.552814,1.895777,0.194719,0.383005,-0.934464,-0.171165,1.145088,2.646467
50,-0.190520,2.053335,0.202649,0.414836,-0.587713,0.206672,1.240256,2.866415
50,-0.418677,1.531736,0.175028,0.309458,-0.761732,-0.075623,0.925200,2.138273
50,-0.680658,1.424191,0.168771,0.287730,-1.011451,-0.349866,0.860240,1.988142
50,-0.262626,1.634067,0.180780,0.330131,-0.616954,0.091702,0.987009,2.281125
50,-0.421316,1.608290,0.179348,0.324924,-0.772838,-0.069793,0.971440,2.245140
50,-0.219757,1.645713,0.181423,0.332484,-0.575345,0.135832,0.994044,2.297382
50,-0.496748,2.342268,0.216438,0.473210,-0.920966,-0.072529,1.414777,3.269759
50,-0.119172,1.979668,0.198981,0.399953,-0.509174,0.270830,1.195759,2.763576
50,-0.576247,1.785931,0.188994,0.360812,-0.946675,-0.205819,1.078738,2.493123
50,-0.338448,1.850073,0.192358,0.373771,-0.715469,0.038573,1.117482,2.582665
50,-0.590214,1.993480,0.199674,0.402744,-0.981575,-0.198854,1.204102,2.782858
50,-0.711252,1.950807,0.197525,0.394122,-1.098401,-0.324102,1.178327,2.723287
50,-0.363041,2.554875,0.226048,0.516163,-0.806094,0.080013,1.543196,3.566554
50,-0.442755,1.713275,0.185109,0.346134,-0.805569,-0.079940,1.034853,2.391697
50,-0.661850,1.460932,0.170935,0.295153,-0.996882,-0.326818,0.882432,2.039432
50,-0.582388,2.121606,0.205991,0.428629,-0.986129,-0.178646,1.281493,2.961719
50,-0.553783,2.667257,0.230966,0.538867,-1.006475,-0.101090,1.611077,3.723437
50,-0.844752,2.318105,0.215319,0.468328,-1.266777,-0.422728,1.400182,3.236028
50,-0.770278,2.564429,0.226470,0.518093,-1.214159,-0.326397,1.548967,3.579891
50,-0.640438,1.407758,0.167795,0.284410,-0.969316,-0.311560,0.850314,1.965202
50,-0.626264,2.281459,0.213610,0.460924,-1.044940,-0.207589,1.378048,3.184871
50,-0.914235,2.250938,0.212176,0.454758,-1.330101,-0.498370,1.359612,3.142264
50,-0.344257,2.635205,0.229574,0.532392,-0.794222,0.105707,1.591717,3.678693
50,-0.574586,1.298499,0.161152,0.262336,-0.890444,-0.258728,0.784320,1.812678
50,-0.797549,1.299572,0.161219,0.262553,-1.113537,-0.481560,0.784967,1.814176
50,-0.616201,2.085821,0.204246,0.421399,-1.016523,-0.215879,1.259878,2.911763
50,-0.588453,2.077638,0.203845,0.419746,-0.987989,-0.188917,1.254935,2.900340
50,-0.593916,1.380474,0.166161,0.278898,-0.919592,-0.268241,0.833834,1.927113
50,-0.235477,2.232739,0.211317,0.451081,-0.649658,0.178703,1.348619,3.116858
50,-0.912609,2.212669,0.210365,0.447027,-1.324925,-0.500294,1.336497,3.088842
50,-0.561423,2.623497,0.229063,0.530026,-1.010386,-0.112459,1.584645,3.662349
50,-0.582819,1.751653,0.187171,0.353887,-0.949675,-0.215964,1.058034,2.445272
50,-0.405684,1.997310,0.199865,0.403517,-0.797421,-0.013948,1.206415,2.788204
50,-1.025154,2.108318,0.205345,0.425945,-1.427630,-0.622679,1.273467,2.943170
50,-0.537716,2.171488,0.208398,0.438707,-0.946176,-0.129256,1.311623,3.031354
50,-0.382387,2.334643,0.216085,0.471669,-0.805914,0.041140,1.410172,3.259115
50,-0.561060,1.510439,0.173807,0.305155,-0.901721,-0.220399,0.912336,2.108543
50,-0.703631,2.162881,0.207985,0.436968,-1.111281,-0.295981,1.306424,3.019338
50,-0.771643,2.155522,0.207631,0.435481,-1.178599,-0.364687,1.301979,3.009066
50,-0.615318,1.259118,0.158689,0.254380,-0.926350,-0.304287,0.760532,1.757703
50,-0.744861,2.727578,0.233563,0.551054,-1.202644,-0.287078,1.647512,3.807644
50,-0.549284,2.024286,0.201211,0.408968,-0.943657,-0.154911,1.222710,2.825862
50,-0.433532,1.779982,0.188679,0.359611,-0.803342,-0.063722,1.075145,2.484819
50,-0.579445,1.792401,0.189336,0.362120,-0.950543,-0.208346,1.082647,2.502156
50,-0.209120,1.778870,0.188620,0.359386,-0.578815,0.160575,1.074473,2.483266
50,-0.526550,1.418387,0.168427,0.286558,-0.856667,-0.196432,0.856735,1.980040
50,-0.698304,2.069032,0.203422,0.418008,-1.097012,-0.299596,1.249737,2.888326
50,-0.037727,1.641153,0.181171,0.331563,-0.392823,0.317369,0.991290,2.291016
50,-0.187788,2.128501,0.206325,0.430022,-0.592185,0.216609,1.285658,2.971345
50,-0.279410,1.441797,0.169812,0.291287,-0.612241,0.053420,0.870875,2.012720
50,-0.711931,3.186915,0.252464,0.643854,-1.206762,-0.217101,1.924961,4.448869
50,-0.447797,2.090423,0.204471,0.422329,-0.848561,-0.047034,1.262658,2.918188
50,-0.670466,1.541008,0.175557,0.311331,-1.014557,-0.326374,0.930800,2.151216
50,-0.610658,2.882135,0.240089,0.582279,-1.081232,-0.140084,1.740868,4.023402
50,-0.602318,1.885474,0.194189,0.380923,-0.982929,-0.221707,1.138864,2.632084
50,-0.322676,1.319500,0.162450,0.266579,-0.641078,-0.004274,0.797004,1.841995
50,-0.646777,1.988610,0.199430,0.401760,-1.037659,-0.255895,1.201161,2.776059
50,-0.603725,1.597237,0.178731,0.322691,-0.954038,-0.253413,0.964764,2.229711
50,-0.108355,2.178918,0.208754,0.440208,-0.517513,0.300804,1.316111,3.041726
50,-0.640540,1.634362,0.180796,0.330191,-0.994901,-0.286180,0.987188,2.281537
50,-0.832621,1.758129,0.187517,0.355196,-1.200154,-0.465088,1.061945,2.454312
50,-0.271249,1.422940,0.168697,0.287477,-0.601896,0.059398,0.859485,1.986396
50,-0.728199,1.338235,0.163599,0.270364,-1.048853,-0.407544,0.808321,1.868149
50,-0.677527,2.264196,0.212800,0.457437,-1.094616,-0.260439,1.367620,3.160772
50,-0.452536,2.345999,0.216610,0.473963,-0.877092,-0.027980,1.417031,3.274968
50,-0.610353,1.540541,0.175530,0.311236,-0.954392,-0.266314,0.930518,2.150564
50,-0.749629,1.927203,0.196326,0.389354,-1.134429,-0.364829,1.164070,2.690337
50,-0.502086,2.221288,0.210774,0.448768,-0.915203,-0.088969,1.341703,3.100873
50,-0.687184,2.385362,0.218420,0.481916,-1.115287,-0.259081,1.440807,3.329918
50,-0.645539,1.920466,0.195983,0.387993,-1.029665,-0.261412,1.160000,2.680931
50,-0.589222,1.862821,0.193019,0.376347,-0.967540,-0.210904,1.125182,2.600461
50,-0.654145,2.378215,0.218092,0.480472,-1.081606,-0.226684,1.436490,3.319940
50,-0.505076,1.894286,0.194643,0.382704,-0.886575,-0.123577,1.144187,2.644385
50,-0.249996,1.940574,0.197006,0.392055,-0.636128,0.136137,1.172146,2.709002
50,-0.234304,3.034487,0.246353,0.613059,-0.717155,0.248548,1.832892,4.236083
50,-0.674977,1.979412,0.198968,0.399902,-1.064954,-0.285000,1.195605,2.763219
50,-0.526964,1.458346,0.170783,0.294630,-0.861700,-0.192229,0.880871,2.035822
50,-0.532200,2.249766,0.212121,0.454521,-0.947957,-0.116443,1.358904,3.140628
50,-0.275458,1.871086,0.193447,0.378016,-0.654614,0.103698,1.130174,2.611999
50,-0.343860,1.188109,0.154150,0.240034,-0.645994,-0.041726,0.717642,1.658576
50,-0.627396,2.321308,0.215467,0.468975,-1.049711,-0.205080,1.402117,3.240499
50,-0.700636,1.559565,0.176611,0.315080,-1.046793,-0.354479,0.942009,2.177121
50,-0.663288,2.310578,0.214969,0.466807,-1.084627,-0.241950,1.395636,3.225520
50,-0.193409,1.759270,0.187578,0.355426,-0.561061,0.174244,1.062634,2.455905
50,-0.488464,1.445092,0.170005,0.291953,-0.821675,-0.155254,0.872865,2.017319
50,-0.717403,1.864361,0.193099,0.376658,-1.095877,-0.338929,1.126112,2.602610
50,-0.238373,1.346457,0.164101,0.272025,-0.560011,0.083265,0.813287,1.879626
50,-0.732095,2.296276,0.214302,0.463918,-1.152128,-0.312062,1.386997,3.205555
50,-0.145702,2.200639,0.209792,0.444596,-0.556895,0.265490,1.329230,3.072047
50,-0.237135,2.320025,0.215408,0.468716,-0.659334,0.185064,1.401342,3.238708
50,-0.605835,1.959405,0.197960,0.395860,-0.993837,-0.217834,1.183520,2.735290
50,-0.465811,1.835344,0.191590,0.370796,-0.841328,-0.090294,1.108585,2.562103
50,-0.557687,1.392217,0.166866,0.281270,-0.884744,-0.230629,0.840927,1.943507
50,-1.008343,1.923475,0.196136,0.388601,-1.392771,-0.623916,1.161818,2.685133
50,-0.935389,2.587826,0.227501,0.522820,-1.381290,-0.489488,1.563099,3.612552
50,-0.256220,2.372970,0.217852,0.479412,-0.683209,0.170770,1.433322,3.312619
50,-0.605941,1.560606,0.176670,0.315290,-0.952213,-0.259668,0.942637,2.178574
50,-0.718024,1.929850,0.196461,0.389889,-1.103088,-0.332960,1.165668,2.694031
50,-0.721085,1.583698,0.177972,0.319955,-1.069910,-0.372260,0.956586,2.210811
50,-0.676607,1.690920,0.183898,0.341617,-1.037046,-0.316167,1.021350,2.360490
50,-0.472195,2.193698,0.209461,0.443194,-0.882739,-0.061651,1.325038,3.062358
50,-0.357761,2.541903,0.225473,0.513542,-0.799688,0.084167,1.535361,3.548446
50,-0.272298,1.823031,0.190947,0.368308,-0.646553,0.101957,1.101147,2.544914
50,-0.281401,1.951155,0.197543,0.394193,-0.668585,0.105783,1.178537,2.723774
50,-0.353349,1.931356,0.196538,0.390193,-0.738563,0.031866,1.166578,2.696134
50,-0.392592,1.810802,0.190305,0.365837,-0.765590,-0.019594,1.093761,2.527843
50,-0.418659,2.197706,0.209652,0.444004,-0.829578,-0.007740,1.327459,3.067953
50,-0.417038,1.747864,0.186969,0.353122,-0.783496,-0.050579,1.055745,2.439982
50,-0.664013,1.934342,0.196690,0.390796,-1.049525,-0.278502,1.168382,2.700303
50,-0.655379,1.874759,0.193637,0.378759,-1.034907,-0.275851,1.132393,2.617126
50,-0.236458,1.796071,0.189529,0.362861,-0.607936,0.135019,1.084863,2.507279
50,-0.901618,1.485913,0.172390,0.300200,-1.239502,-0.563734,0.897522,2.074305
50,-0.418564,2.005565,0.200278,0.405185,-0.811109,-0.026019,1.211402,2.799728
50,-0.432571,2.117748,0.205803,0.427850,-0.835946,-0.029197,1.279162,2.956333
50,-0.279839,2.556466,0.226118,0.516484,-0.723030,0.163352,1.544157,3.568775
50,-0.318862,2.136459,0.206710,0.431630,-0.724015,0.086290,1.290464,2.982453
50,-0.680628,2.166067,0.208138,0.437612,-1.088578,-0.272678,1.308348,3.023785
50,-0.251299,2.350869,0.216835,0.474947,-0.676295,0.173698,1.419972,3.281766
50,-0.280354,1.426842,0.168929,0.288266,-0.611454,0.050746,0.861842,1.991843
50,0.092814,1.986830,0.199340,0.401400,-0.297893,0.483521,1.200086,2.773575
50,-0.346635,1.845701,0.192130,0.372888,-0.723210,0.029940,1.114840,2.576561
50,0.007489,1.800001,0.189737,0.363655,-0.364395,0.379373,1.087237,2.512766
50,-0.560599,1.543980,0.175726,0.311931,-0.905022,-0.216176,0.932595,2.155365
50,-0.538247,1.421737,0.168626,0.287234,-0.868754,-0.207740,0.858758,1.984716
50,-0.445250,2.162693,0.207976,0.436930,-0.852882,-0.037618,1.306310,3.019076
50,-0.729292,2.275409,0.213326,0.459702,-1.147412,-0.311172,1.374393,3.176424
50,-0.822881,1.649371,0.181624,0.333223,-1.178865,-0.466897,0.996253,2.302489
50,-0.427144,1.800673,0.189772,0.363791,-0.799098,-0.055191,1.087643,2.513703
50,-0.186763,1.515978,0.174125,0.306274,-0.528049,0.154522,0.915681,2.116275
50,-0.598772,1.500684,0.173245,0.303184,-0.938331,-0.259213,0.906444,2.094925
50,-0.439944,1.945254,0.197244,0.393001,-0.826541,-0.053346,1.174973,2.715535
50,-0.307799,1.892210,0.194536,0.382284,-0.689089,0.073492,1.142933,2.641488
50,-0.336247,1.684376,0.183542,0.340295,-0.695988,0.023495,1.017397,2.351355
50,-0.314039,2.202211,0.209867,0.444914,-0.725379,0.097300,1.330180,3.074241
50,-0.224276,2.212299,0.210347,0.446952,-0.636557,0.188004,1.336273,3.088325
50,-0.625580,1.746419,0.186891,0.352830,-0.991887,-0.259273,1.054873,2.437966
50,-0.534295,1.916959,0.195804,0.387284,-0.918071,-0.150519,1.157882,2.676036
50,-0.502852,1.736185,0.186343,0.350762,-0.868084,-0.137620,1.048691,2.423679
50,-0.491346,1.573061,0.177373,0.317806,-0.838998,-0.143695,0.950161,2.195961
50,-0.709543,1.806170,0.190062,0.364901,-1.082063,-0.337022,1.090963,2.521377
50,-0.342494,1.200059,0.154923,0.242448,-0.646143,-0.038845,0.724860,1.675258
50,-0.278308,1.937678,0.196859,0.391470,-0.664152,0.107536,1.170397,2.704959
50,-0.580878,2.292421,0.214122,0.463139,-1.000558,-0.161198,1.384669,3.200174
50,-0.464853,1.672359,0.182886,0.337868,-0.823309,-0.106397,1.010139,2.334579
50,-1.112441,1.697425,0.184251,0.342932,-1.473573,-0.751309,1.025279,2.369571
50,-0.884019,1.571853,0.177305,0.317562,-1.231537,-0.536501,0.949431,2.194275
50,-0.278711,2.005496,0.200275,0.405171,-0.671249,0.113827,1.211360,2.799631
50,-0.247181,1.511198,0.173850,0.305308,-0.587928,0.093565,0.912794,2.109602
50,-0.407121,1.543336,0.175689,0.311801,-0.751472,-0.062771,0.932206,2.154465
50,-0.334762,1.677261,0.183154,0.338858,-0.693743,0.024219,1.013100,2.341423
50,-0.134753,1.864133,0.193087,0.376612,-0.513204,0.243698,1.125974,2.602292
50,-0.798592,2.037892,0.201886,0.411716,-1.194288,-0.402896,1.230928,2.844856
50,-0.407637,1.663797,0.182417,0.336138,-0.765175,-0.050100,1.004967,2.322627
50,-0.514658,2.281839,0.213628,0.461001,-0.933368,-0.095948,1.378277,3.185402
50,-0.640266,2.260382,0.212621,0.456666,-1.057003,-0.223529,1.365316,3.155448
50,-0.754450,1.717026,0.185312,0.346892,-1.117661,-0.391238,1.037118,2.396933
50,-0.634488,1.624432,0.180246,0.328185,-0.987770,-0.281206,0.981190,2.267674
50,-0.577769,2.302854,0.214609,0.465247,-0.998403,-0.157135,1.390970,3.214737
50,-0.462565,1.996916,0.199846,0.403438,-0.854263,-0.070867,1.206178,2.787655
50,-0.408916,2.228137,0.211099,0.450152,-0.822670,0.004838,1.345840,3.110434
50,-0.592676,2.334999,0.216102,0.471741,-1.016235,-0.169116,1.410387,3.259612
50,-0.634649,1.833553,0.191497,0.370434,-1.009983,-0.259315,1.107503,2.559603
50,-0.675299,2.021671,0.201081,0.408439,-1.069417,-0.281181,1.221130,2.822212
50,-0.122101,2.104998,0.205183,0.425274,-0.524259,0.280057,1.271461,2.938535
50,-0.223784,3.089529,0.248577,0.624179,-0.710995,0.263427,1.866138,4.312920
50,-0.460557,1.665316,0.182500,0.336445,-0.818257,-0.102857,1.005884,2.324747
50,-0.523336,2.813599,0.237217,0.568433,-0.988282,-0.058390,1.699470,3.927727
50,-0.314239,1.445860,0.170051,0.292108,-0.647538,0.019060,0.873329,2.018392
50,-0.396788,1.907727,0.195332,0.385419,-0.779639,-0.013938,1.152306,2.663149
50,-0.577513,1.517310,0.174202,0.306543,-0.918948,-0.236078,0.916486,2.118134
50,-0.870918,1.676114,0.183091,0.338626,-1.229776,-0.512060,1.012406,2.339821
50,-0.333226,1.623232,0.180179,0.327942,-0.686378,0.019926,0.980465,2.266000
50,-0.634527,1.893326,0.194593,0.382510,-1.015930,-0.253124,1.143607,2.643044
50,-0.090477,1.966357,0.198311,0.397264,-0.479166,0.298212,1.187720,2.744995
50,-0.420511,2.452681,0.221480,0.495516,-0.854613,0.013590,1.481469,3.423892
50,-0.739213,2.019699,0.200983,0.408041,-1.133139,-0.345287,1.219939,2.819459
50,-0.505181,1.897565,0.194811,0.383366,-0.887011,-0.123352,1.146168,2.648963
50,-0.593157,1.713680,0.185131,0.346216,-0.956015,-0.230300,1.035098,2.392263
50,-0.577612,1.819699,0.190772,0.367635,-0.951525,-0.203698,1.099135,2.540263
50,-0.027792,1.543265,0.175685,0.311787,-0.372135,0.316551,0.932164,2.154367
50,-0.258473,2.476303,0.222545,0.500289,-0.694661,0.177714,1.495737,3.456869
50,-0.312234,2.195667,0.209555,0.443592,-0.722962,0.098494,1.326228,3.065107
50,-0.419468,2.019394,0.200967,0.407979,-0.813364,-0.025572,1.219754,2.819033
50,-0.771635,2.402820,0.219218,0.485443,-1.201302,-0.341969,1.451352,3.354288
50,-0.287722,2.743943,0.234262,0.554360,-0.746876,0.171433,1.657397,3.830489
50,-0.651200,2.099412,0.204910,0.424145,-1.052824,-0.249576,1.268087,2.930736
50,-0.540426,1.609918,0.179439,0.325252,-0.892126,-0.188725,0.972423,2.247413
50,-0.702693,2.618932,0.228864,0.529104,-1.151266,-0.254120,1.581888,3.655977
50,-0.198391,1.806233,0.190065,0.364914,-0.570918,0.174136,1.091001,2.521464
50,-0.245020,1.760487,0.187643,0.355672,-0.612800,0.122759,1.063369,2.457604
50,-0.655600,1.837609,0.191709,0.371253,-1.031349,-0.279851,1.109953,2.565265
50,-0.603850,2.571377,0.226776,0.519497,-1.048331,-0.159368,1.553164,3.589591
50,-0.734485,2.228897,0.211135,0.450305,-1.148309,-0.320660,1.346299,3.111495
50,-0.367405,1.931034,0.196521,0.390128,-0.752587,0.017777,1.166384,2.695685
50,-0.634958,1.659947,0.182206,0.335360,-0.992081,-0.277834,1.002642,2.317253
50,-0.439530,2.001640,0.200082,0.404392,-0.831691,-0.047370,1.209031,2.794249
50,-0.654602,2.107639,0.205311,0.425807,-1.057012,-0.252192,1.273057,2.942221
50,-0.507393,1.921792,0.196051,0.388261,-0.891652,-0.123134,1.160801,2.682783
50,-0.301241,1.881724,0.193996,0.380166,-0.681474,0.078991,1.136599,2.626849
50,-0.499150,2.051292,0.202548,0.414423,-0.896145,-0.102155,1.239022,2.863562
50,-0.480435,2.184345,0.209014,0.441304,-0.890103,-0.070767,1.319388,3.049301
50,-0.563445,1.838246,0.191742,0.371382,-0.939259,-0.187631,1.110338,2.566154
50,-0.348685,1.977982,0.198896,0.399613,-0.738522,0.041151,1.194741,2.761223
50,-0.085325,2.408595,0.219481,0.486610,-0.515508,0.344857,1.454840,3.362350
50,-0.164216,2.216098,0.210528,0.447719,-0.576851,0.248419,1.338568,3.093629
50,-0.350814,1.286326,0.160395,0.259877,-0.665188,-0.036440,0.776967,1.795685
50,-0.429129,2.673267,0.231226,0.540082,-0.882331,0.024074,1.614707,3.731827
50,-0.307338,2.459277,0.221778,0.496849,-0.742023,0.127347,1.485453,3.433101
50,-0.660669,2.114168,0.205629,0.427126,-1.063702,-0.257636,1.277000,2.951336
50,-0.175657,1.483455,0.172247,0.299703,-0.513262,0.161947,0.896037,2.070874
50,-0.275853,2.238888,0.211608,0.452324,-0.690603,0.138898,1.352334,3.125442
50,-0.630135,2.306380,0.214773,0.465959,-1.051091,-0.209179,1.393100,3.219660
50,-0.396315,1.832991,0.191468,0.370320,-0.771591,-0.021038,1.107164,2.558819
50,-0.846935,1.972942,0.198642,0.398594,-1.236274,-0.457596,1.191697,2.754187
50,-0.445167,1.730945,0.186062,0.349704,-0.809848,-0.080486,1.045526,2.416364
50,-0.688997,1.371106,0.165596,0.277005,-1.013566,-0.364429,0.828176,1.914036
50,-0.094511,1.818757,0.190723,0.367444,-0.468327,0.279306,1.098566,2.538948
50,-0.571705,1.562990,0.176804,0.315772,-0.918242,-0.225169,0.944077,2.181902
50,-0.949607,2.160774,0.207883,0.436542,-1.357058,-0.542156,1.305151,3.016397
50,-0.582637,2.441333,0.220968,0.493224,-1.015734,-0.149541,1.474614,3.408051
50,-0.540482,1.549615,0.176046,0.313070,-0.885533,-0.195431,0.935999,2.163232
50,-0.584349,2.464427,0.222010,0.497889,-1.019489,-0.149209,1.488563,3.440290
50,-0.629973,1.482707,0.172204,0.299552,-0.967493,-0.292454,0.895585,2.069829
50,-0.397784,2.915632,0.241480,0.589047,-0.871085,0.075517,1.761100,4.070163
50,-0.329204,1.586031,0.178103,0.320427,-0.678286,0.019877,0.957995,2.214067
50,-0.405002,1.906488,0.195268,0.385169,-0.787728,-0.022276,1.151557,2.661419
50,-0.276446,1.808331,0.190175,0.365338,-0.649190,0.096297,1.092268,2.524393
50,-0.281638,2.312717,0.215068,0.467239,-0.703172,0.139896,1.396928,3.228507
50,-0.360588,2.547994,0.225743,0.514773,-0.803044,0.081868,1.539040,3.556948
50,-0.486892,2.390178,0.218640,0.482889,-0.915427,-0.058357,1.443716,3.336640
50,-0.360032,2.407922,0.219450,0.486474,-0.790155,0.070090,1.454434,3.361411
50,-0.308657,1.986489,0.199323,0.401331,-0.699331,0.082017,1.199879,2.773098
50,-0.514591,3.086336,0.248449,0.623534,-1.001551,-0.027632,1.864209,4.308463
50,-0.567461,1.420466,0.168551,0.286978,-0.897821,-0.237102,0.857990,1.982942
50,-0.512849,2.250111,0.212137,0.454591,-0.928638,-0.097060,1.359112,3.141109
50,-0.685807,2.236987,0.211518,0.451940,-1.100382,-0.271233,1.351185,3.122788
50,-0.493425,1.097772,0.148174,0.221783,-0.783845,-0.203005,0.663076,1.532467
50,-0.490660,1.941730,0.197065,0.392289,-0.876907,-0.104412,1.172844,2.710616
